chrom1	start1	end1	chrom2	start2	end2	count	balanced
1	156786000	156787000	1	156822000	156823000	1	0.10869
1	156787000	156788000	1	156788000	156789000	1	
1	156787000	156788000	1	156790000	156791000	1	0.117492
1	156787000	156788000	1	156834000	156835000	1	0.100466
1	156789000	156790000	1	156796000	156797000	1	0.108951
1	156790000	156791000	1	156790000	156791000	1	0.0864052
1	156791000	156792000	1	156802000	156803000	1	
1	156791000	156792000	1	156806000	156807000	1	
1	156791000	156792000	1	156825000	156826000	1	
1	156792000	156793000	1	156792000	156793000	1	0.0633357
1	156792000	156793000	1	156793000	156794000	1	0.0714874
1	156792000	156793000	1	156794000	156795000	1	
1	156793000	156794000	1	156793000	156794000	1	0.0806883
1	156795000	156796000	1	156799000	156800000	1	0.0599394
1	156795000	156796000	1	156802000	156803000	1	0.0490814
1	156795000	156796000	1	156837000	156838000	1	0.0617595
1	156796000	156797000	1	156858000	156859000	1	0.114704
1	156797000	156798000	1	156804000	156805000	1	0.0752992
1	156797000	156798000	1	156861000	156862000	1	0.0409308
1	156797000	156798000	1	156866000	156867000	1	0.0767197
1	156800000	156801000	1	156801000	156802000	1	0.0406663
1	156801000	156802000	1	156824000	156825000	1	0.0627423
1	156801000	156802000	1	156829000	156830000	2	0.124438
1	156801000	156802000	1	156830000	156831000	1	0.0472245
1	156802000	156803000	1	156846000	156847000	1	0.092552
1	156804000	156805000	1	156849000	156850000	1	0.0564598
1	156804000	156805000	1	156875000	156876000	1	0.0599392
1	156806000	156807000	1	156813000	156814000	1	
1	156807000	156808000	1	156822000	156823000	1	0.185115
1	156808000	156809000	1	156809000	156810000	1	
1	156810000	156811000	1	156810000	156811000	1	
1	156810000	156811000	1	156824000	156825000	1	
1	156810000	156811000	1	156848000	156849000	1	
1	156812000	156813000	1	156812000	156813000	2	0.0506375
1	156812000	156813000	1	156813000	156814000	1	0.098295
1	156812000	156813000	1	156862000	156863000	1	0.0491972
1	156812000	156813000	1	156876000	156877000	1	0.0452739
1	156813000	156814000	1	156861000	156862000	1	0.0992963
1	156814000	156815000	1	156837000	156838000	1	
1	156815000	156816000	1	156818000	156819000	1	0.0400847
1	156815000	156816000	1	156832000	156833000	1	0.0515788
1	156815000	156816000	1	156843000	156844000	1	
1	156817000	156818000	1	156817000	156818000	1	
1	156817000	156818000	1	156851000	156852000	1	
1	156817000	156818000	1	156859000	156860000	1	
1	156818000	156819000	1	156818000	156819000	1	0.0758721
1	156818000	156819000	1	156822000	156823000	1	0.11056
1	156819000	156820000	1	156835000	156836000	1	0.114571
1	156819000	156820000	1	156859000	156860000	1	
1	156820000	156821000	1	156851000	156852000	1	0.0819403
1	156821000	156822000	1	156847000	156848000	1	
1	156825000	156826000	1	156825000	156826000	1	0.0844649
1	156826000	156827000	1	156835000	156836000	1	0.0723818
1	156827000	156828000	1	156833000	156834000	1	0.0785762
1	156829000	156830000	1	156830000	156831000	1	0.0730437
1	156830000	156831000	1	156853000	156854000	1	0.0515221
1	156830000	156831000	1	156873000	156874000	1	0.124258
1	156831000	156832000	1	156831000	156832000	1	0.118918
1	156831000	156832000	1	156852000	156853000	1	
1	156831000	156832000	1	156883000	156884000	1	
1	156832000	156833000	1	156833000	156834000	1	0.143291
1	156832000	156833000	1	156878000	156879000	1	0.0834817
1	156833000	156834000	1	156859000	156860000	1	
1	156834000	156835000	1	156834000	156835000	1	0.0631769
1	156834000	156835000	1	156845000	156846000	1	0.0584809
1	156834000	156835000	1	156869000	156870000	1	0.0454355
1	156834000	156835000	1	156884000	156885000	1	0.0827834
1	156835000	156836000	1	156835000	156836000	1	0.0612838
1	156835000	156836000	1	156841000	156842000	1	0.0821244
1	156838000	156839000	1	156838000	156839000	1	0.102808
1	156838000	156839000	1	156868000	156869000	1	0.0666246
1	156839000	156840000	1	156839000	156840000	1	0.0987913
1	156840000	156841000	1	156854000	156855000	1	0.118018
1	156843000	156844000	1	156844000	156845000	1	
1	156844000	156845000	1	156850000	156851000	1	0.193284
1	156844000	156845000	1	156868000	156869000	1	0.130101
1	156845000	156846000	1	156845000	156846000	1	0.0541339
1	156845000	156846000	1	156846000	156847000	1	0.114139
1	156845000	156846000	1	156847000	156848000	1	0.0889034
1	156845000	156846000	1	156848000	156849000	1	0.11919
1	156845000	156846000	1	156854000	156855000	1	0.066796
1	156846000	156847000	1	156861000	156862000	1	0.0788535
1	156847000	156848000	1	156853000	156854000	1	0.083611
1	156847000	156848000	1	156854000	156855000	1	0.109698
1	156849000	156850000	1	156850000	156851000	1	0.0589401
1	156849000	156850000	1	156866000	156867000	1	0.0575249
1	156851000	156852000	1	156851000	156852000	1	0.0468787
1	156851000	156852000	1	156857000	156858000	1	0.061979
1	156855000	156856000	1	156859000	156860000	1	
1	156856000	156857000	1	156856000	156857000	1	
1	156857000	156858000	1	156857000	156858000	1	0.0819434
1	156861000	156862000	1	156862000	156863000	1	0.0496983
1	156864000	156865000	1	156868000	156869000	1	0.0660208
1	156865000	156866000	1	156865000	156866000	1	0.0783645
1	156865000	156866000	1	156877000	156878000	1	0.12588
1	156866000	156867000	1	156866000	156867000	1	0.0907733
1	156867000	156868000	1	156867000	156868000	1	
1	156868000	156869000	1	156871000	156872000	1	0.0471919
1	156869000	156870000	1	156875000	156876000	1	0.0366408
1	156870000	156871000	1	156870000	156871000	1	0.0457286
1	156872000	156873000	1	156878000	156879000	1	
1	156873000	156874000	1	156873000	156874000	1	0.278496
1	156875000	156876000	1	156875000	156876000	1	0.0410863
1	156875000	156876000	1	156876000	156877000	1	0.0576734
1	156875000	156876000	1	156884000	156885000	1	0.0667595
1	156876000	156877000	1	156876000	156877000	1	0.080957
1	156877000	156878000	1	156877000	156878000	1	0.202206
1	156877000	156878000	1	156879000	156880000	1	
1	156879000	156880000	1	156879000	156880000	1	
1	156880000	156881000	1	156880000	156881000	1	
1	156883000	156884000	1	156884000	156885000	1	
1	156884000	156885000	1	156884000	156885000	1	0.108475
